lfdn;tag;converted
918.0;Customer does not know what he wants;Lack of knowledge
918.0;Lack of time;Lack of management
918.0;Lack of a well-defined RE process;Insufficient development process
918.0;Inappropriate definition of contract;Lack of management
918.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
921.0;Lack of a well-defined RE process;Insufficient development process
921.0;Lack of requirements management;Lack of management
921.0;Lack of experience of RE team members;Lack of knowledge
921.0;Missing customer involvement;Lack of involvement from the customer
923.0;Customer does not know what he wants;Lack of knowledge
923.0;Missing customer involvement;Lack of involvement from the customer
923.0;Insufficient resources;Lack of management
923.0;Missing IT project experience at customer side;Lack of knowledge
923.0;Customer does not know what he wants;Lack of knowledge
924.0;Missing involvement of developers;Lack of involvement within the team
924.0;Lack of teamwork skills;Lack of knowledge
924.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
924.0;Insufficient analysis at the beginning of the project;Process execution defects
924.0;Lack of requirements management;Lack of management
928.0;Incomplete requirements;Lack of knowledge
928.0;Lack of experience of RE team members;Lack of knowledge
928.0;Missing willingless to change;Human factors
928.0;Strict time schedule by customer;Lack of management
928.0;Missing IT project experience at customer side;Lack of knowledge
929.0;Strict time schedule by customer;Lack of management
929.0;Insufficient resource plan;Lack of management
929.0;Communication flaws between team and customer;Communication problems
929.0;Lack of leadership;Lack of management
929.0;Lack of a well-defined RE process;Insufficient development process
930.0;Missing engagement by customer;Lack of engagement
930.0;Poor requirements elicitation techniques;Insufficient development process
930.0;Volatile industry segment that leads to changes;Changing project characteristics
930.0;Missing RE awareness at customer side;Lack of RE awareness
930.0;Customer does not know what he wants;Lack of knowledge
931.0;Missing domain knowledge;Lack of knowledge
932.0;Unexpected changes in requirements;Moving targets
933.0;Lack of experience of RE team members;Lack of knowledge
933.0;Lack of time;Lack of management
933.0;Customer does not know what he wants;Lack of knowledge
933.0;Poor requirements elicitation techniques;Insufficient development process
933.0;Volatile requirements;Moving targets
937.0;Unclear project scope;Lack of management
937.0;Poor project management;Lack of management
945.0;Poor requirements elicitation techniques;Insufficient development process
945.0;Customer does not know what he wants;Lack of knowledge
945.0;Missing completeness check of requirements;Process execution defects
945.0;Missing engagement by customer;Lack of engagement
945.0;Complexity of domain;High complexity of projects
947.0;High quality expectation of customer;Lack of common understanding about goals
947.0;Lack of time;Lack of management
947.0;Volatile industry segment that leads to changes;Changing project characteristics
947.0;Lack of experience of RE team members;Lack of knowledge
947.0;Communication flaws between the project and the customer;Communication problems
947.0;Customer does not know what he wants;Lack of knowledge
952.0;Missing documentation;Process execution defects
952.0;Incomplete requirements;Lack of knowledge
952.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
952.0;Missing access to business needs;Lack of knowledge
958.0;Too high team distribution;Lack of management
958.0;Strict time schedule by customer;Lack of management
958.0;Missing customer involvement;Lack of involvement from the customer
958.0;Missing prioritization by customer;Process execution defects
959.0;Volatile industry segment that leads to changes;Changing project characteristics
959.0;Insufficient stakeholder analysis;Process execution defects
959.0;Subjective interpretations;Human factors
959.0;Missing tool support;Insufficient development process
959.0;Complexity of project;High complexity of projects
968.0;Insufficient collaboration in process;Process execution defects
968.0;Poor project management;Lack of management
980.0;Poor project management;Lack of management
984.0;Insufficient resources;Lack of management
984.0;Missing tool support;Insufficient development process
984.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
984.0;Insufficient agility;Lack of common understanding about goals
985.0;Missing customer involvement;Lack of involvement from the customer
985.0;Missing customer involvement;Lack of involvement from the customer
985.0;Missing domain knowledge;Lack of knowledge
985.0;Lack of teamwork skills;Lack of knowledge
987.0;Lack of time;Lack of management
987.0;Lack of time;Lack of management
987.0;Lack of time;Lack of management
987.0;Poor requirements elicitation techniques;Insufficient development process
987.0;Lack of time;Lack of management
990.0;Lack of change management at customer side;Lack of management
990.0;Missing customer involvement;Lack of involvement from the customer
990.0;Incomplete requirements;Lack of knowledge
990.0;High workload;Lack of management
990.0;Poor project management;Lack of management
997.0;Missing customer involvement;Lack of involvement from the customer
997.0;Thinking in legacy systems;Lack of common understanding about goals
997.0;Lack of time;Lack of management
997.0;Missing domain knowledge;Lack of knowledge
1006.0;Customer does not know what he wants;Lack of knowledge
1006.0;Too many meetings;Insufficient development process
1006.0;Missing requirements specification template;Process execution defects
1006.0;Volatile requirements;Moving targets
1006.0;Workload of customer;Lack of involvement from the customer
1010.0;Missing project management;Lack of management
1010.0;Poor project management;Lack of management
1010.0;Customer does not know what he wants;Lack of knowledge
1010.0;Poor project management;Lack of management
1010.0;Missing tool support;Insufficient development process
1011.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
1011.0;Weak management at customer side;Lack of management
1011.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
1011.0;Weak management at customer side;Lack of management
1011.0;Communication flaws between team and customer;Communication problems
1012.0;Missing concentration on business needs;Lack of involvement within the team
1012.0;Poor project management;Lack of management
1012.0;Unexpected changes in requirements;Moving targets
1012.0;Missing check of requirements;Process execution defects
1012.0;Lack of requirements management;Lack of management
1014.0;Communication flaws between team and customer;Communication problems
1014.0;Missing documentation;Process execution defects
1014.0;Poor project management;Lack of management
1014.0;Documentation overhead;Process execution defects
1014.0;Missing domain knowledge;Lack of knowledge
1017.0;Documentation overhead;Process execution defects
1017.0;Missing customer involvement;Lack of involvement from the customer
1017.0;Unclear terminology;Communication problems
1017.0;Missing documentation;Process execution defects
1017.0;Missing customer involvement;Lack of involvement from the customer
1021.0;Insufficient information;Lack of knowledge
1021.0;Insufficient stakeholder analysis;Process execution defects
1021.0;Lack of requirements management;Lack of management
1021.0;Missing domain knowledge;Lack of knowledge
1021.0;Insufficient analysis at the beginning of the project;Process execution defects
1031.0;Poor project management;Lack of management
1031.0;Missing customer involvement;Lack of involvement from the customer
1031.0;Complexity of project;High complexity of projects
1031.0;Gold plating;Process execution defects
1031.0;Poor project management;Lack of management
1033.0;Volatile requirements;Moving targets
1033.0;Poor project management;Lack of management
1033.0;Missing engagement by customer;Lack of engagement
1033.0;Communication flaws between team and customer;Communication problems
1033.0;Lack of communication channels;Lack of communication channels
1039.0;Insufficient collaboration in process;Process execution defects
1039.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
1039.0;Insufficient information;Lack of knowledge
1039.0;Volatile requirements;Moving targets
1039.0;Missing domain knowledge;Lack of knowledge
1051.0;Missing engagement by customer;Lack of engagement
1051.0;Lack of requirements management;Lack of management
1051.0;Demotivation;Human factors
1051.0;Lack of experience of RE team members;Lack of knowledge
1051.0;Lack of experience of RE team members;Lack of knowledge
1055.0;Lack of time;Lack of management
1055.0;Inability to specify measurable non-functional requirements;Lack of knowledge
1055.0;Missing involvement of developers;Lack of involvement within the team
1055.0;Missing solution approach;Insufficient development process
1055.0;Unclear terminology;Communication problems
1062.0;Language barriers;Communication problems
1062.0;Insufficient planning of RE;Process execution defects
1062.0;Customer does not know what he wants;Lack of knowledge
1062.0;Missing customer involvement;Lack of involvement from the customer
1062.0;Missing tool support;Insufficient development process
1064.0;Lack of experience of RE team members;Lack of knowledge
1064.0;Lack of experience of RE team members;Lack of knowledge
1064.0;Missing RE awareness at customer side;Lack of RE awareness
1064.0;Lack of requirements management;Lack of management
1064.0;Weak qualification of RE team members;Lack of knowledge
1064.0;Lack of requirements management;Lack of management
1065.0;Missing tool support;Insufficient development process
1065.0;Missing customer involvement;Lack of involvement from the customer
1065.0;Weak qualification of stakeholders;Lack of knowledge
1065.0;Weak management at customer side;Lack of management
1065.0;Poor project management;Lack of management
1066.0;Unclear roles and responsibilities at customer side;Lack of management
1066.0;Requirements remain too abstract;Process execution defects
1066.0;Solution orientation;Insufficient development process
1066.0;Concurrent development activities;Lack of management
1066.0;Lack of requirements management;Lack of management
1069.0;Missing customer involvement;Lack of involvement from the customer
1069.0;Missing of a global view of the system;Lack of knowledge
1069.0;Missing willingless to change;Human factors
1069.0;Missing domain knowledge;Lack of knowledge
1069.0;Lack of communication channels;Lack of communication channels
1070.0;Strict time schedule by customer;Lack of management
1070.0;Conflict of interests at customer side;Lack of common understanding about goals
1070.0;Insufficient analysis at the beginning of the project;Process execution defects
1070.0;Conflict of interests at management level;Lack of common understanding about goals
1076.0;Missing domain knowledge;Lack of knowledge
1076.0;Requirements remain too abstract;Process execution defects
1076.0;Requirements remain too abstract;Process execution defects
1076.0;Lack of requirements management;Lack of management
1079.0;Missing documentation;Process execution defects
1079.0;Conflict of interests at customer side;Lack of common understanding about goals
1079.0;Insufficient resources;Lack of management
1079.0;Unclear roles and responsibilities at customer side;Lack of management
1079.0;Incomplete requirements;Lack of knowledge
1080.0;Process doesn't allow for innovation;Insufficient development process
1080.0;Missing prioritization by customer;Process execution defects
1080.0;Lack of requirements management;Lack of management
1080.0;Missing concentration on business needs;Lack of involvement within the team
1080.0;Unclear terminology;Communication problems
1082.0;Missing direct communication to customer;Communication problems
1082.0;Lack of a well-defined RE process;Insufficient development process
1082.0;Not following the communication plan;Process execution defects
1082.0;Solution orientation;Insufficient development process
1091.0;Documentation overhead;Process execution defects
1091.0;Lack of experience of RE team members;Lack of knowledge
1091.0;Incomplete requirements;Lack of knowledge
1091.0;Poor requirements elicitation techniques;Insufficient development process
1091.0;Communication flaws between team and customer;Communication problems
1091.0;Lack of teamwork skills;Lack of knowledge
1097.0;Inability to specify measurable non-functional requirements;Lack of knowledge
1097.0;Thinking in legacy systems;Lack of common understanding about goals
1097.0;Missing documentation;Process execution defects
1097.0;Missing analysis;Process execution defects
1097.0;Missing technical knowledge;Lack of knowledge
1100.0;Missing customer involvement;Lack of involvement from the customer
1100.0;Missing domain knowledge;Lack of knowledge
1100.0;Missing engagement by customer;Lack of engagement
1100.0;Lack of experience of RE team members;Lack of knowledge
1100.0;Lack of time;Lack of management
1101.0;Customer does not formally approve the requirements;Process execution defects
1101.0;Requirements remain too abstract;Process execution defects
1101.0;Missing RE awareness at customer side;Lack of RE awareness
1101.0;Weak qualification of stakeholders;Lack of knowledge
1101.0;Miscommunication between RE team;Communication problems
1105.0;Incomplete requirements;Lack of knowledge
1105.0;Poor project management;Lack of management
1105.0;Volatile requirements;Moving targets
1105.0;Missing concentration on business needs;Lack of involvement within the team
1105.0;Insufficient information;Lack of knowledge
1111.0;Lack of experience of RE team members;Lack of knowledge
1111.0;Missing methodology;Insufficient development process
1111.0;Missing engagement by customer;Lack of engagement
1111.0;Poor project management;Lack of management
1111.0;Insufficient stakeholder analysis;Process execution defects
1114.0;Missing customer involvement;Lack of involvement from the customer
1114.0;Poor project management;Lack of management
1114.0;Missing engagement by customer;Lack of engagement
1114.0;Missing engagement by customer;Lack of engagement
1114.0;Insufficient collaboration in process;Process execution defects
1118.0;Insufficient collaboration in process;Process execution defects
1118.0;Language barriers;Communication problems
1118.0;Communication flaws between team and customer;Communication problems
1118.0;Missing domain knowledge;Lack of knowledge
1118.0;Communication flaws between team and customer;Communication problems
1122.0;Unclear roles and responsonsibilities at customer side;Lack of management
1122.0;High quality expectation of customer;Lack of common understanding about goals
1122.0;Volatile industry segment that leads to changes;Changing project characteristics
1122.0;Conflict of interests at customer side;Lack of common understanding about goals
1122.0;Poor project management;Lack of management
1124.0;Lack of a well-defined RE process;Insufficient development process
1124.0;Lack of communication channels;Lack of communication channels
1124.0;Process doesn't allow for innovation;Insufficient development process
1124.0;Incomplete requirements;Lack of knowledge
1124.0;Language barriers;Communication problems
1126.0;Poor requirements elicitation techniques;Insufficient development process
1126.0;Not following the communication plan;Process execution defects
1126.0;Lack of experience of RE team members;Lack of knowledge
1126.0;Lack of experience of RE team members;Lack of knowledge
1126.0;Lack of teamwork skills;Lack of knowledge
1139.0;Lack of time;Lack of management
1139.0;Lack of requirements management;Lack of management
1139.0;Insufficient resources;Lack of management
1139.0;High workload;Lack of management
1139.0;Poor project management;Lack of management
1141.0;Poor project management;Lack of management
1141.0;Missing technical knowledge;Lack of knowledge
1141.0;Missing domain knowledge;Lack of knowledge
1141.0;Missing domain knowledge;Lack of knowledge
1141.0;Poor project management;Lack of management
1159.0;Communication flaws between team and customer;Communication problems
1159.0;Lack of a well-defined RE process;Insufficient development process
1159.0;Missing customer involvement;Lack of involvement from the customer
1161.0;Lack of trust;Human factors
1161.0;Missing IT project experience at customer side;Lack of knowledge
1161.0;Lack of change management at customer side;Lack of management
1161.0;Missing IT project experience at customer side;Lack of knowledge
1161.0;Missing IT project experience at customer side;Lack of knowledge
1163.0;Missing RE awareness at team side;Lack of RE awareness
1163.0;Lack of experience of RE team members;Lack of knowledge
1163.0;Insufficient agility;Lack of common understanding about goals
1163.0;Complexity of project;High complexity of projects
1163.0;Lack of a well-defined RE process;Insufficient development process
1166.0;High cost;Lack of management
1167.0;Lack of change management at customer side;Lack of management
1167.0;Method Poor project management;Lack of management
1167.0;Insufficient collaboration in process;Process execution defects
1167.0;Requirements remain too abstract;Process execution defects
1168.0;Demotivation;Human factors
1168.0;Demotivation;Human factors
1168.0;Poor requirements elicitation techniques;Insufficient development process
1168.0;Communication flaws between team and customer;Communication problems
1168.0;Missing IT project experience at customer side;Lack of knowledge
1168.0;Incomplete requirements;Lack of knowledge
1171.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
1171.0;Lack of requirements management;Lack of management
1171.0;Lack of a well-defined RE process;Insufficient development process
1171.0;Lack of experience of RE team members;Lack of knowledge
1171.0;Missing customer involvement;Lack of involvement from the customer
1187.0;Unclear roles and responsonsibilities at customer side;Lack of management
1187.0;Lack of experience of RE team members;Lack of knowledge
1187.0;Unclear business needs;Lack of common understanding about goals
1187.0;Customer does not know what he wants;Lack of knowledge
1187.0;Many customers;Lack of management
1189.0;Unclear terminology;Communication problems
1189.0;Volatile requirements;Moving targets
1194.0;Missing technical knowledge;Lack of knowledge
1194.0;Volatile requirements;Moving targets
1194.0;Lack of requirements management;Lack of management
1204.0;Missing direct communication to customer;Communication problems
1204.0;Stakeholder fluctuation;Changing project characteristics
1204.0;Insufficient collaboration in process;Process execution defects
1204.0;Insufficient team size;Lack of management
1204.0;Missing knowledge about development framework;Lack of knowledge
1207.0;Volatile industry segment that leads to changes;Changing project characteristics
1207.0;Gold plating;Process execution defects
1207.0;Poor project management;Lack of management
1207.0;Customer does not know what he wants;Lack of knowledge
1207.0;Missing domain knowledge;Lack of knowledge
1221.0;Poor documentation;Process execution defects
1221.0;Poor project management;Lack of management
1221.0;Missing customer involvement;Lack of involvement from the customer
1221.0;Unclear business needs;Lack of common understanding about goals
1221.0;Missing of a global view of the system;Lack of knowledge
1223.0;Missing customer involvement;Lack of involvement from the customer
1224.0;Customer does not formally approve the requirements;Process execution defects
1224.0;Lack of time;Lack of management
1224.0;Missing customer involvement;Lack of involvement from the customer
1224.0;Missing RE awareness at customer side;Lack of RE awareness
1225.0;Weak qualification of stakeholders;Lack of knowledge
1225.0;Unclear business needs;Lack of common understanding about goals
1225.0;High quality expectation of customer;Lack of common understanding about goals
1225.0;Missing engagement by customer;Lack of engagement
1225.0;Missing customer involvement;Lack of involvement from the customer
1229.0;Communication flaws between team and customer;Communication problems
1229.0;Not following the communication plan;Process execution defects
1229.0;Missing engagement by customer;Lack of engagement
1229.0;Demotivation;Human factors
1229.0;Lack of leadership;Lack of management
1238.0;Many customers;Lack of management
1238.0;Poor project management;Lack of management
1238.0;Complexity of project;High complexity of projects
1238.0;Not following the communication plan;Process execution defects
1238.0;Lack of change management at customer side;Lack of management
1239.0;Missing direct communication to customer;Communication problems
1239.0;Lack of time;Lack of management
1239.0;Lack of time;Lack of management
1239.0;Lack of change management at customer side;Lack of management
1239.0;Requirements remain too abstract;Process execution defects
1262.0;Lack of requirements management;Lack of management
1262.0;Lack of experience of RE team members;Lack of knowledge
1262.0;Poor project management;Lack of management
1266.0;Conflict of interests at management level;Lack of common understanding about goals
1266.0;Volatile requirements;Moving targets
1266.0;Missing company wide standard;Insufficient development process
1266.0;Lack of a well-defined RE process;Insufficient development process
1266.0;Volatile requirements;Moving targets
1273.0;Insufficient resource plan;Lack of management
1275.0;Poor project management;Lack of management
1279.0;Missing IT project experience at customer side;Lack of knowledge
1279.0;Missing domain knowledge;Lack of knowledge
1279.0;Unexpected changes in requirements;Moving targets
1279.0;High quality expectation of customer;Lack of common understanding about goals
1279.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
1283.0;Weak qualification of stakeholders;Lack of knowledge
1283.0;Lack of change management at customer side;Lack of management
1283.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
1283.0;Weak qualification of stakeholders;Lack of knowledge
1283.0;Missing RE awareness at customer side;Lack of RE awareness
1288.0;Requirements remain too abstract;Process execution defects
1288.0;Lack of requirements management;Lack of management
1288.0;Lack of requirements management;Lack of management
1288.0;Many customers;Lack of management
1289.0;Lack of time;Lack of management
1289.0;Poor project management;Lack of management
1289.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
1289.0;Missing IT project experience at customer side;Lack of knowledge
1290.0;Lack of experience of RE team members;Lack of knowledge
1290.0;Lack of change management at customer side;Lack of management
1291.0;Language barriers;Communication problems
1291.0;Missing engagement by customer;Lack of engagement
1291.0;Changing business needs;Moving targets
1291.0;Missing direct communication to customer;Communication problems
1296.0;Process doesn't allow for innovation;Insufficient development process
1296.0;Unexpected changes in requirements;Moving targets
1296.0;Complexity of project;High complexity of projects
1296.0;High complexity in overall project setting;High complexity of projects
1296.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
1316.0;Missing domain knowledge;Lack of knowledge
1316.0;Changing business needs;Moving targets
1316.0;Incomplete requirements;Lack of knowledge
1316.0;Missing engagement by customer;Lack of engagement
1321.0;Unexpected changes in requirements;Moving targets
1321.0;Stakeholders lack business vision and understanding;Lack of common understanding about goals
1327.0;Missing concentration on business needs;Lack of involvement within the team
1327.0;Volatile requirements;Moving targets
1327.0;Missing IT project experience at customer side;Lack of knowledge
1327.0;High quality expectation of customer;Lack of common understanding about goals
1327.0;Complexity of RE;High complexity of projects
1331.0;Insufficient information;Lack of knowledge
1331.0;Thinking in legacy systems;Lack of common understanding about goals
1331.0;Weak management at customer side;Lack of management
1331.0;Weak qualification of RE team members;Lack of knowledge
1331.0;Missing customer involvement;Lack of involvement from the customer
1339.0;Missing willingless to change;Human factors
1339.0;Lack of time;Lack of management
1339.0;Lack of time;Lack of management
1339.0;Poor project management;Lack of management
1339.0;Poor project management;Lack of management
1340.0;Poor requirements elicitation techniques;Insufficient development process
1340.0;Poor project management;Lack of management
1340.0;Bad atmosphere in the group;Communication problems
1340.0;Poor project management;Lack of management
1340.0;Lack of requirements management;Lack of management
1341.0;Missing IT project experience at customer side;Lack of knowledge
1341.0;Missing customer involvement;Lack of involvement from the customer
1341.0;Customer does not know what he wants;Lack of knowledge
1341.0;Lack of time;Lack of management
1341.0;Missing domain knowledge;Lack of knowledge
1343.0;Incomplete requirements;Lack of knowledge
1343.0;Missing domain knowledge;Lack of knowledge
1343.0;Lack of a well-defined RE process;Insufficient development process
1343.0;Customer does not know what he wants;Lack of knowledge
1343.0;Communication flaws between team and customer;Communication problems
1344.0;Poor requirements elicitation techniques;Insufficient development process
1344.0;Unclear terminology;Communication problems
1344.0;Communication flaws between team and customer;Communication problems
1344.0;Lack of requirements management;Lack of management
1347.0;Missing direct communication to customer;Communication problems
1347.0;Missing RE awareness at customer side;Lack of RE awareness
1347.0;Process doesn't allow for innovation;Insufficient development process
1347.0;Strict time schedule by customer;Lack of management
1347.0;Missing direct communication to customer;Communication problems
1349.0;Customer does not know what he wants;Lack of knowledge
1349.0;Conflict of interests at management level;Lack of common understanding about goals
1349.0;Customer does not know what he wants;Lack of knowledge
1349.0;Conflict of interests at customer side;Lack of common understanding about goals
1349.0;Customer does not know what he wants;Lack of knowledge
1350.0;Lack of time;Lack of management
1350.0;Customer does not know what he wants;Lack of knowledge
1350.0;Missing domain knowledge;Lack of knowledge
1350.0;Conflict of interests at management level;Lack of common understanding about goals
1350.0;Missing engagement by customer;Lack of engagement
1351.0;Lack of time;Lack of management
1351.0;Customer does not formally approve the requirements;Process execution defects
1351.0;High quality expectation of customer;Lack of common understanding about goals
1351.0;Unclear terminology;Communication problems
1351.0;Insufficient requirements;Process execution defects
1351.0;Communication flaws between team and customer;Communication problems
1352.0;Lack of communication channels;Lack of communication channels
1352.0;Missing documentation;Process execution defects
1353.0;Unclear terminology;Communication problems
1353.0;Communication flaws between the project and the customer;Communication problems
1353.0;Poor requirements elicitation techniques;Insufficient development process
1353.0;Strict time schedule by customer;Lack of management
1353.0;Missing engagement by customer;Lack of engagement
1354.0;Lack of requirements management;Lack of management
1354.0;Lack of leadership;Lack of management
1354.0;Missing engagement by customer;Lack of engagement
1354.0;Poor project management;Lack of management
1354.0;Communication flaws between team and customer;Communication problems
1355.0;Lack of communication channels;Lack of communication channels
1355.0;Unclear business needs;Lack of common understanding about goals
1355.0;Lack of discipline;Human factors
1355.0;Missing communication to customer side;Communication problems
1355.0;Missing customer involvement;Lack of involvement from the customer
1355.0;Requirements remain too abstract;Process execution defects
1356.0;Missing customer involvement;Lack of involvement from the customer
1356.0;High quality expectation of customer;Lack of common understanding about goals
1356.0;Communication flaws between team and customer;Communication problems
1356.0;Lack of time;Lack of management
1356.0;Unclear terminology;Communication problems
1357.0;Insufficient planning of RE;Process execution defects
1357.0;Missing domain knowledge;Lack of knowledge
1357.0;Poor project management;Lack of management
1357.0;Unfeasible requirements;Process execution defects
1357.0;Customer does not know what he wants;Lack of knowledge
1358.0;Incomplete requirements;Lack of knowledge
1358.0;Missing technical knowledge;Lack of knowledge
1358.0;Changing business needs;Moving targets
1358.0;Poor project management;Lack of management
1358.0;Lack of communication channels;Lack of communication channels
1359.0;Communication flaws between team and customer;Communication problems
1359.0;Communication flaws between team and customer;Communication problems
1359.0;Lack of change management at customer side;Lack of management
1360.0;Communication flaws between team and customer;Communication problems
1360.0;Lack of change management at customer side;Lack of management
1360.0;Inability to specify measurable non-functional requirements;Lack of knowledge
1383.0;Incomplete requirements;Lack of knowledge
1384.0;Complexity of project;High complexity of projects
1384.0;Lack of requirements management;Lack of management
1384.0;Missing solution approach;Insufficient development process
1384.0;Missing prioritization by customer;Process execution defects
1384.0;Unclear business needs;Lack of common understanding about goals
1402.0;Insufficient agility;Lack of common understanding about goals
1402.0;Conflict of interests at customer side;Lack of common understanding about goals
1402.0;Lack of communication channels;Lack of communication channels
1402.0;Communication flaws between team and customer;Communication problems
1402.0;Lack of a well-defined RE process;Insufficient development process
1403.0;Missing requirements specification template;Process execution defects
1403.0;Poor requirements elicitation techniques;Insufficient development process
1403.0;Poor project management;Lack of management
1406.0;High workload;Lack of management
1406.0;Lack of time;Lack of management
1406.0;Lack of time;Lack of management
1406.0;Missing engagement by customer;Lack of engagement
1406.0;Poor project management;Lack of management
1411.0;Changing business needs;Moving targets
1411.0;Missing access to business needs;Lack of knowledge
1411.0;Lack of time;Lack of management
1411.0;Language barriers;Communication problems
1411.0;Thinking in legacy systems;Lack of common understanding about goals
1413.0;Missing IT project experience at customer side;Lack of knowledge
1413.0;Missing customer involvement;Lack of involvement from the customer
1413.0;Customer does not know what he wants;Lack of knowledge
1413.0;Lack of time;Lack of management
1413.0;Missing domain knowledge;Lack of knowledge
1415.0;Missing IT project experience at customer side;Lack of knowledge
1415.0;Customer does not know what he wants;Lack of knowledge
1415.0;Customer does not know what he wants;Lack of knowledge
1415.0;Unclear terminology;Communication problems
1415.0;Missing domain knowledge;Lack of knowledge
1416.0;Lack of communication channels;Lack of communication channels
1416.0;Conflict of interests at customer side;Lack of common understanding about goals
1416.0;Missing documentation;Process execution defects
1416.0;Poor project management;Lack of management
1416.0;Communication flaws between team and customer;Communication problems
1417.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
1417.0;Insufficient requirements;Process execution defects
1417.0;Poor project management;Lack of management
1417.0;Customer does not know what he wants;Lack of knowledge
1417.0;Lack of communication channels;Lack of communication channels
1419.0;Incomplete requirements;Lack of knowledge
1419.0;Missing engagement by customer;Lack of engagement
1419.0;Communication flaws between team and customer;Communication problems
1419.0;Unclear terminology;Communication problems
1419.0;Miscommunication between RE team;Communication problems
1422.0;Requirements remain too abstract;Process execution defects
1422.0;Communication flaws between team and customer;Communication problems
1422.0;Incomplete requirements;Lack of knowledge
1422.0;Poor requirements elicitation techniques;Insufficient development process
1422.0;Lack of communication channels;Lack of communication channels
1423.0;Missing completeness check of requirements;Process execution defects
1423.0;Communication flaws between team and customer;Communication problems
1423.0;Unclear business needs;Lack of common understanding about goals
1424.0;Missing customer involvement;Lack of involvement from the customer
1424.0;Solution orientation;Insufficient development process
1424.0;Communication flaws between the project and the customer;Communication problems
1424.0;Missing customer involvement;Lack of involvement from the customer
1424.0;Lack of requirements management;Lack of management
1426.0;Missing RE awareness at customer side;Lack of RE awareness
1426.0;Missing domain knowledge;Lack of knowledge
1426.0;Unclear terminology;Communication problems
1426.0;Poor project management;Lack of management
1426.0;Missing IT project experience at customer side;Lack of knowledge
1433.0;Inability to specify measurable non-functional requirements;Lack of knowledge
1433.0;Lack of project management;Lack of management
1433.0;Incomplete requirements;Lack of knowledge
1433.0;Missing domain knowledge;Lack of knowledge
1433.0;Inappropriate definition of contract;Lack of management
1435.0;Insufficient team size;Lack of management
1435.0;Lack of a well-defined RE process;Insufficient development process
1435.0;Volatile requirements;Moving targets
1435.0;Communication flaws between team and customer;Communication problems
1441.0;High workload;Lack of management
1441.0;High workload;Lack of management
1441.0;Workload of customer;Lack of involvement from the customer
1441.0;Insufficient agility;Lack of common understanding about goals
1449.0;Insufficient planning of RE;Process execution defects
1449.0;Lack of requirements management;Lack of management
1449.0;Lack of time;Lack of management
1454.0;Missing customer involvement;Lack of involvement from the customer
1454.0;Communication flaws between team and customer;Communication problems
1454.0;Insufficient collaboration in process;Process execution defects
1454.0;Conflicting stakeholder viewpoints;Lack of common understanding about goals
1454.0;Miscommunication between RE team;Communication problems
1455.0;Changing business needs;Moving targets
1455.0;Incomplete requirements;Lack of knowledge
1455.0;Missing IT project experience at customer side;Lack of knowledge
1455.0;Missing documentation;Process execution defects
1455.0;Missing requirements specification template;Process execution defects
1457.0;Missing technical knowledge;Lack of knowledge
1457.0;Missing engagement by customer;Lack of engagement
1457.0;Requirements remain too abstract;Process execution defects
1457.0;Customer does not know what he wants;Lack of knowledge
1458.0;Method Poor project management;Lack of management
1458.0;Missing domain knowledge;Lack of knowledge
1458.0;Poor project management;Lack of management
1458.0;Miscommunication between RE team;Communication problems
1458.0;Team fluctuation;Changing project characteristics
1458.0;Unfeasible requirements;Process execution defects
1459.0;Communication flaws between team and customer;Communication problems
1459.0;Miscommunication between RE team;Communication problems
1459.0;Communication flaws between team and customer;Communication problems
1459.0;Customer does not know what he wants;Lack of knowledge
1459.0;Lack of project management;Lack of management
1460.0;Not following the communication plan;Process execution defects
1460.0;Missing IT project experience at customer side;Lack of knowledge
1460.0;Missing domain knowledge;Lack of knowledge
1460.0;Lack of training;Lack of knowledge
1462.0;Customer does not know what he wants;Lack of knowledge
1462.0;Conflict of interests at customer side;Lack of common understanding about goals
1462.0;Lack of a well-defined RE process;Insufficient development process
1462.0;Customer does not know what he wants;Lack of knowledge
1462.0;Communication flaws between team and customer;Communication problems
1466.0;Missing RE awareness at team side;Lack of RE awareness
1466.0;Insufficient planning of RE;Process execution defects
1466.0;Unclear terminology;Communication problems
1466.0;Lack of leadership;Lack of management
1466.0;Poor project management;Lack of management
1467.0;Requirements remain too abstract;Process execution defects
1467.0;Insufficient analysis at the beginning of the project;Process execution defects
1467.0;Poor requirements elicitation techniques;Insufficient development process
1467.0;Poor requirements elicitation techniques;Insufficient development process
1467.0;Insufficient analysis at the beginning of the project;Process execution defects
1482.0;Communication flaws between team and customer;Communication problems
1482.0;Conflict of interests at management level;Lack of common understanding about goals
1482.0;Communication flaws between team and customer;Communication problems
