lfdn;Problem;Cause;tag;Rank;Source Id;Target Id;HumanRelated;Category;Discussion needed
479;Missing traceability;No top down engineering in case of agility;Insufficient agility;4;46;8;;;
479;Terminological problems;"No glossary; The glossary is there but no one reads it; Glossary is to big";Lack of interest about customers domain;3;62;12;;;
482;Communication flaws within the project team;Sometimes proactive communication is missing ;Lack of teamwork skills;3;66;1;;;
482;Incomplete or hidden requirements;Sometime customer has hidden requirements which tend to be explicit requirements ;Incomplete requirements;1;45;4;;;
482;Inconsistent requirements;Dependency between many requirements ;Missing requirements specification template;2;96;5;;;
482;Stakeholders with difficulties in separating requirements from previously known solution designs;Less clarity on enhancements ;Requirements remain too abstract;4;111;10;;;
485;Communication flaws within the project team;It seems to have clear communication, but is not checking and there are always discrepancies at the end;Miscommunication between RE team;1;73;1;;;
485;Incomplete or hidden requirements;The tendency in requirements specification is to think that who collects the information has the same knowledge as who writes it.;Lack of a well-defined RE process;2;56;4;;;
485;Moving targets (changing goals, business processes and / or requirements);last minute emergency affecting current developments;Lack of a well-defined RE process;5;56;9;;;
485;Time boxing / Not enough time in general;It is always required to cover as much as possible.;Lack of time;3;67;13;;;
485;Weak knowledge about customer's application domain;interdisciplinary Gap;Missing domain knowledge;4;84;18;;;
489;Communication flaws between the project and the customer;not enough time;Lack of time;1;67;0;;;
489;Communication flaws within the project team;not enough time;Lack of time;2;67;1;;;
489;Incomplete or hidden requirements;not enough time;Lack of time;3;67;4;;;
502;Missing traceability;Not updating every single thing when there is a change.;Lack of requirements management;1;65;8;;;
506;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;technique challenge;Poor requirements elicitation techniques;1;107;2;;;
506;Incomplete or hidden requirements;not define requirement in detail;Poor requirements elicitation techniques;2;107;4;;;
511;Communication flaws between the project and the customer;customer does not allocate enought resources (time);Lack of time;2;67;0;;;
511;Moving targets (changing goals, business processes and / or requirements);customer starts to redesign processes while project is running;Weak management at customer side;1;135;9;;;
511;Time boxing / Not enough time in general;Moving targets;Volatile industry segment that leads to changes;3;133;13;;;
511;Underspecified requirements that are too abstract and allow for various interpretations;customer does not allocate enought resources (time) ;Missing customer involvement;4;81;15;;;
512;Communication flaws between the project and the customer;not enough contact between the two;Missing direct communication to customer;1;82;0;;;
512;Insufficient support by customer;not educated enough into the process and therefore does not understand the importance of commitment;Lack of teamwork skills;2;66;6;;;
512;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;not educated enough into the process and therefore does not understand the importance of commitment;Weak qualification of stakeholders;3;137;16;;;
512;Weak knowledge about customer's application domain;team did not immerse enough in how the business works;Missing concentration on business needs;4;80;18;;;
518;Communication flaws between the project and the customer;The client is usually lazy and sends the information of what they want a couple of days before the deadlines;Lack of discipline;3;60;0;;;
518;Communication flaws within the project team;Sometimes people forget to mention some requirements from the client;Not following the communication plan;2;103;1;;;
518;Insufficient support by customer;The client doesn't know what he wants, just what he doesn't want;Customer does not know what he wants;4;34;6;;;
518;Time boxing / Not enough time in general;Ridiculously short deadlines;Lack of time;1;67;13;;;
523;Incomplete or hidden requirements;Lack of an analyst and a poorly written document;Unavailability of requirements engineer;1;124;4;;;
523;Inconsistent requirements;Lack of an analyst and a poorly written document;Weak qualification of RE team members;2;136;5;;;
523;Terminological problems;Lack of an analyst and a written document from a very poor shape;Insufficient team size;5;55;12;;;
523;Underspecified requirements that are too abstract and allow for various interpretations;Lack of an analyst and a written document from a very poor shape;Poor documentation;4;105;15;;;
523;Weak knowledge about customer's application domain;There is no meeting to give an overview the business area;Communication flaws between team and customer;3;22;18;;;
524;Communication flaws within the project team;He/She do not spend much time to communicating, and channels are not adequate;Lack of communication channels;4;58;1;;;
524;Incomplete or hidden requirements;Elicitation not realized correctly;Incomplete requirements;5;45;4;;;
524;Inconsistent requirements;Lack of requirements review;Missing check of requirements;3;76;5;;;
524;Missing traceability;The specification is not performed with this characteristic in mind;Lack of a well-defined RE process;2;56;8;;;
524;Time boxing / Not enough time in general;"The organization has a lack of commitment to invest in the process; all people is always busy";Missing customer involvement;1;81;13;;;
525;Communication flaws between the project and the customer;the customer takes for granted that all function reqs are known;High quality expectation of customer;2;41;0;;;
525;Incomplete or hidden requirements;the solution doesnt take into account certain hidden request of functionality;Incomplete requirements;1;45;4;;;
525;Stakeholders with difficulties in separating requirements from previously known solution designs;Not willing to think  outside the box ;Missing willingless to change;4;100;10;;;
525;Terminological problems;Always a problem between project, cutomer ande the internal departments at the customer (e.g production and finance);Lack of communication channels;5;58;12;;;
525;Time boxing / Not enough time in general;"Unrealistic time setting of the projects;lack of resources over time";Poor project management;3;106;13;;;
534;Communication flaws between the project and the customer;Limited access to the customer, not to be centered at management level to the project;Missing direct communication to customer;1;82;0;;;
534;Communication flaws within the project team;"Conflict of interests; Tell me how you measure me and I'll tell you how I behave";Lack of teamwork skills;4;66;1;;;
534;Incomplete or hidden requirements;Little time;Lack of time;5;67;4;;;
534;Unclear / unmeasurable non-functional requirements;People left the company, causing loss of historical knowledge.;Stakeholder fluctuation;3;116;14;;;
541;Incomplete or hidden requirements;ChangeRequests are required at the end;Lack of requirements management;1;65;4;;;
545;Communication flaws between the project and the customer;culture;Lack of discipline;2;60;0;;;
545;Communication flaws within the project team;culture;Lack of experience of RE team members;5;61;1;;;
545;Incomplete or hidden requirements;time and knowledge;Lack of time;4;67;4;;;
545;Moving targets (changing goals, business processes and / or requirements);culture;Policy restrictions;1;104;9;;;
545;Time boxing / Not enough time in general;market;Lack of time;3;67;13;;;
549;Gold plating (implementation of features without corresponding requirements);Change requests often crop up and sometimes if high priority or you have time constraints they don't get detailed fully/properly;Customer does not know what he wants;5;34;3;;;
549;Gold plating (implementation of features without corresponding requirements);Change requests often crop up and sometimes if high priority or you have time constraints they don't get detailed fully/properly;Incomplete requirements;5;45;3;;;
549;Incomplete or hidden requirements;Sometimes additional requirements only occur once you delve deeper into the initial requirements;Missing completeness check of requirements;3;79;4;;;
549;Inconsistent requirements;Features often come from a range of customers/people and sometimes we don't get all the info we need or are badly communicated;Many customers;4;71;5;;;
549;Time boxing / Not enough time in general;Small company so pressure always to progress, support on previous projects taking staff/time away from current project;Poor project management;1;106;13;;;
549;Underspecified requirements that are too abstract and allow for various interpretations;Features often come from a range of customers/people and sometimes we don't get all the info we need or are badly communicated;Unclear roles and responsonsibilities at customer side;2;129;15;;;
570;Communication flaws within the project team;"cultural differences; language differences; geographical separation; getting the right information to everybody that needs it";Language barriers;3;70;1;;;
570;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;same process for (almost) all development regardless of class of requirement (operational exellence / technology leaderhip / customer intemacy);Lack of a well-defined RE process;4;56;2;;;
570;Terminological problems;lack of easy accessable, common definitions;Unclear terminology;2;130;12;;;
570;Time boxing / Not enough time in general;availability of (critical) resources, long wish list;Insufficient resource plan;1;52;13;;;
570;Weak knowledge about customer's application domain;part of the organization has never visited a customer;Lack of experience of RE team members;5;61;18;;;
572;Gold plating (implementation of features without corresponding requirements);requirements have been verbalised and not documented ;Lack of requirements management;5;65;3;;;
572;Incomplete or hidden requirements;requirements not defined upfront and aligned to the goal;Missing concentration on business needs;1;80;4;;;
572;Inconsistent requirements;no standard for requirements defined;Missing company wide standard;3;78;5;;;
572;Missing traceability;traceability is siloed;Lack of a well-defined RE process;2;56;8;;;
573;Communication flaws between the project and the customer;Misunderstanding of real business needs;Unclear business needs;1;126;0;;;
573;Communication flaws within the project team;Lack of analysis skills does not sufficiently support requirements gathering;Weak qualification of RE team members;2;136;1;;;
573;Weak knowledge about customer's application domain;Makes it difficult to fully understand customers' requirements;Missing domain knowledge;3;84;18;;;
573;Weak relationship between customer and project lead;Makes it difficult for project team to successfully implement solutions if leadership is weak;Lack of leadership;5;63;19;;;
586;Communication flaws between the project and the customer;not having all attending meetings, missing out on communication in different ways to different audinces;Communication flaws between team and customer;2;22;0;Yes;Execution Issues;Yes
586;Communication flaws within the project team;X thougt Y knew or thouhgt Y should know instead of asking ;Communication flaws between team and customer;3;22;1;;;
586;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;new areas, new types of solutions, new types of business lots of unknown factors;Complexity of project;4;25;2;;;
586;Stakeholders with difficulties in separating requirements from previously known solution designs;It«_s always eay to compare and try to fit things to already known values etc;Lack of a well-defined RE process;1;56;10;;;
586;Terminological problems;same word can have a differnt meaning ;Unclear terminology;5;130;12;;;
626;Incomplete or hidden requirements;Lack of domain knowledge;Missing domain knowledge;5;84;4;;;
626;Missing traceability;Lack of mapping goals with outcomes;Lack of requirements management;4;65;8;;;
626;Moving targets (changing goals, business processes and / or requirements);Business Market;Unclear business needs;1;126;9;;;
626;Terminological problems;Inmature industry;Missing company wide standard;2;78;12;;;
626;Weak knowledge about customer's application domain;New team for project;Lack of experience of RE team members;3;61;18;;;
637;Communication flaws between the project and the customer;High pressure on business people.;Strict time schedule by customer;4;118;0;;;
637;Incomplete or hidden requirements;Legacy requirements to be implemented in new application.;Thinking in legacy systems;1;121;4;;;
637;Missing traceability;Lack of tool for requirement documentation.;Missing tool support;3;99;8;;;
637;Time boxing / Not enough time in general;A delayed project that had to deliver.;Poor project management;2;106;13;;;
637;Weak knowledge about customer's application domain;Consultancy company with not enough experience from the industry.;Lack of experience of RE team members;5;61;18;;;
640;Communication flaws between the project and the customer;"Conflicting priorities internally and deployment of changes that impact the project and vice versa; poor customer relations";Conflict of interests at management level;3;29;0;;;
640;Gold plating (implementation of features without corresponding requirements);"Extra effort required to implement features that the client simply did not request; implementation is beyond customer requirements";Gold plating;1;38;3;;;
640;Incomplete or hidden requirements;Extra effort required to implement features that the client simply did not request;Poor requirements elicitation techniques;2;107;4;;;
640;Moving targets (changing goals, business processes and / or requirements);"customer resistance to change; poor execution of newly required documentation";Conflict of interests at customer side;5;28;9;;;
640;Time boxing / Not enough time in general;"scheduling pressures; other client projects being delayed";Strict time schedule by customer;4;118;13;;;
649;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;time and cost restraints;Lack of time;3;67;2;;;
649;Gold plating (implementation of features without corresponding requirements);unrealistic expectations;High quality expectation of customer;5;41;3;;;
649;Incomplete or hidden requirements;during workshops some participants can remains silent and just accept what is proposed;Missing engagement by customer;4;85;4;;;
649;Stakeholders with difficulties in separating requirements from previously known solution designs;legacy applications;Thinking in legacy systems;2;121;10;;;
649;Time boxing / Not enough time in general;unrealistic expectations;High quality expectation of customer;1;41;13;;;
661;Communication flaws within the project team;Inadequate coordinator. People coming in for shifts or short periods.;Lack of project management;1;64;1;;;
661;Incomplete or hidden requirements;It is a general customer characteristic;Customer does not know what he wants;4;34;4;;;
661;Insufficient support by project lead;inadequate coordinator;Lack of leadership;2;63;7;;;
661;Moving targets (changing goals, business processes and / or requirements);It is a general customer characteristic;Volatile industry segment that leads to changes;3;133;9;;;
663;Communication flaws between the project and the customer;"Missing overview which people are involved; Missing skills of correct communication; Missing structures";Missing of a global view of the system;1;91;0;;;
663;Incomplete or hidden requirements;No or incomplete understanding of requirements engineering;Weak qualification of RE team members;4;136;4;;;
663;Moving targets (changing goals, business processes and / or requirements);"No Ideas of goals in terms of strategy; Missing or imcomplete strategy";Stakeholders lack business vision and understanding;2;117;9;;;
663;Time boxing / Not enough time in general;Rising preasure of digitalisation;Missing IT project experience at customer side;3;87;13;;;
663;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;No explicit procedure model in cerntain disciplines and management methods ;Lack of a well-defined RE process;5;56;16;;;
676;Communication flaws between the project and the customer;Follow-up minutes are not made;Lack of requirements management;2;65;0;;;
676;Incomplete or hidden requirements;The client does not clearly specify its needs;Customer does not know what he wants;3;34;4;;;
676;Incomplete or hidden requirements;The client is not able to define adequately their ideas;Stakeholders lack business vision and understanding;1;117;4;;;
676;Insufficient support by customer;the customer does not have time to devote to the project;Missing customer involvement;4;81;6;;;
676;Unclear / unmeasurable non-functional requirements;the client is not able to define want things he wants;Customer does not formally approve the requirements;5;33;14;;;
684;Communication flaws within the project team;Things can be built in the wrong way;Communication flaws between team and customer;3;22;1;;;
684;Inconsistent requirements;Things  dosent make sense;Unclear business needs;4;126;5;;;
684;Insufficient support by customer;The work dosent move forward;Missing customer involvement;2;81;6;;;
684;Insufficient support by project lead;Missing the time for the finish date;Lack of time;1;67;7;;;
694;Communication flaws between the project and the customer;customer not available as much as the project needs him ;Insufficient collaboration in process;1;48;0;;;
694;Communication flaws within the project team;"lack of communication skills ; lack of soft skills in general that affect team interactions";Communication flaws between team and customer;3;22;1;;;
694;Time boxing / Not enough time in general;"sales promising too much to get a deal ; client wanting something faster even if doing that is not adviced";Strict time schedule by customer;4;118;13;;;
694;Unclear / unmeasurable non-functional requirements;lack of pre-sales to better understand client needs;Requirements engineer has no influence on customer;5;110;14;;;
694;Underspecified requirements that are too abstract and allow for various interpretations;"documentation poorly written ; incomplete documentation";Weak qualification of RE team members;2;136;15;;;
710;Incomplete or hidden requirements;shalow analysis from the product owner,lack of requirements validation with the client;Customer does not formally approve the requirements;1;33;4;;;
710;Insufficient support by customer;customers not able/willing to allocate time to review requirements and analysis with the product owner,too many stakeholders in the customer's organization;Lack of time;3;67;6;;;
710;Missing traceability;tools and processes issue;Poor project management;5;106;8;;;
710;Moving targets (changing goals, business processes and / or requirements);poor communication of the product owner with the customer;Lack of communication channels;2;58;9;;;
710;Underspecified requirements that are too abstract and allow for various interpretations;lack of time from the product owner to produce proper documentation,lack of training of the product owner to do in depth analysis and design verification;Lack of time;4;67;15;;;
719;Communication flaws between the project and the customer;"Assume an interpretation as correct; not validate the information";Lack of experience of RE team members;5;61;0;;;
719;Communication flaws within the project team;He/She assumes an interpretation as correct, but not validate the information;Miscommunication between RE team;1;73;1;;;
719;Incomplete or hidden requirements;"To assume an interpretation as correct; do not validate the information";Customer does not formally approve the requirements;2;33;4;;;
719;Missing traceability;A methodology is not used;Missing methodology;3;90;8;;;
719;Underspecified requirements that are too abstract and allow for various interpretations;Lack of analysis;Insufficient analysis at the beginning of the project;4;47;15;;;
722;Communication flaws between the project and the customer;Bad management, not proficient analyst wotk;Poor project management;1;106;0;;;
722;Communication flaws within the project team;Not proficient team lead work;Weak qualification of RE team members;4;136;1;;;
722;Insufficient support by customer;Bad management;Lack of requirements management;2;65;6;;;
722;Moving targets (changing goals, business processes and / or requirements);It happens;Unclear roles and responsonsibilities at customer side;3;129;9;;;
723;Communication flaws within the project team;lack of Communication;Miscommunication between RE team;1;73;1;;;
723;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders' will are different;Subjective interpretations;2;119;10;;;
729;Incomplete or hidden requirements;Interlocutory users are not correctly assigned in some cases for requirements elicitation;Unclear roles and responsonsibilities at customer side;2;129;4;;;
729;Moving targets (changing goals, business processes and / or requirements);High personnel turnover.;Team fluctuation;1;120;9;;;
729;Stakeholders with difficulties in separating requirements from previously known solution designs;The client went to work with spreadsheets to start working with a system, leading to some users (did not occur in all cases), to try to reproduce the forms instead of looking for the best solution;Solution orientation;3;114;10;;;
735;Communication flaws between the project and the customer;Changing requirements without consent of the contracting party;Lack of requirements management;1;65;0;;;
735;Time boxing / Not enough time in general;time management with other projects;Poor project management;2;106;13;;;
740;Incomplete or hidden requirements;weaknesses in processes;Poor requirements elicitation techniques;1;107;4;;;
740;Insufficient support by customer;Availability of the client;Strict time schedule by customer;5;118;6;;;
740;Underspecified requirements that are too abstract and allow for various interpretations;Customer's interpretation problems;Insufficient stakeholder analysis;3;54;15;;;
740;Weak access to customer needs and / or (internal) business information;Limited customer availability;Missing customer involvement;4;81;17;;;
740;Weak knowledge about customer's application domain;Little customer dedication;Missing RE awareness at customer side;2;94;18;;;
742;Communication flaws between the project and the customer;working silos;Lack of communication channels;3;58;0;;;
742;Moving targets (changing goals, business processes and / or requirements);Organisational change;Lack of change management at customer side;2;57;9;;;
742;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;New stakeholder on the project;Stakeholder fluctuation;1;116;16;;;
758;Moving targets (changing goals, business processes and / or requirements);Context switching between products;Lack of change management at customer side;2;57;9;;;
758;Technically unfeasible requirements;Need interdiscplinary expertise lacking in the team;Missing technical knowledge;1;98;11;;;
758;Weak knowledge about customer's application domain;For some products we rely quite a bit on customer's intuition;Missing domain knowledge;3;84;18;;;
768;Communication flaws within the project team;not talking or practicing daily meetings;Lack of communication channels;1;58;1;;;
768;Incomplete or hidden requirements;a lot of requirements of clients are not being mentioned immediately;Customer does not know what he wants;4;34;4;;;
768;Time boxing / Not enough time in general;underestimated effort and project timeline;Poor project management;2;106;13;;;
768;Weak access to customer needs and / or (internal) business information;company privacy policy takes longer to get information;Unavailability of stakeholder;3;125;17;;;
774;Gold plating (implementation of features without corresponding requirements);Customer sometime do not under stand the problem they trying to solve as well.lack of BA;Stakeholders lack business vision and understanding;1;117;3;;;
774;Technically unfeasible requirements;Product owner over promised ;High quality expectation of customer;2;41;11;;;
786;Communication flaws within the project team;Difficult to work as a team.;Lack of teamwork skills;2;66;1;;;
786;Terminological problems;Makes the UI difficult to use.;Missing domain knowledge;3;84;12;;;
795;Communication flaws between the project and the customer;"Language barrier ; we're a sub vendor on some parts of the overall project and the main vendor is painful to deal with";Language barriers;1;70;0;;;
795;Time boxing / Not enough time in general;"Overpromised delivery dates/scopes ; Poor leadership within our company ; inability to say No";Lack of leadership;2;63;13;;;
795;Underspecified requirements that are too abstract and allow for various interpretations;Often requirements for 2 months of features boil down to 3 sentences;Lack of a well-defined RE process;4;56;15;;;
795;Weak access to customer needs and / or (internal) business information;Customer provides little in the way of useful contact points other than a single person, would be great except that single person doesn't use the software;Insufficient information;5;49;17;;;
819;Communication flaws between the project and the customer;Lack of a more detailed explanation from the client;Insufficient information;1;49;0;;;
819;Stakeholders with difficulties in separating requirements from previously known solution designs;Client does not want to get rid of old systems;Thinking in legacy systems;2;121;10;;;
819;Terminological problems;The client itself does not understand;Stakeholders lack business vision and understanding;3;117;12;;;
819;Time boxing / Not enough time in general;Lack of planning;Poor project management;5;106;13;;;
819;Unclear / unmeasurable non-functional requirements;No time to gather [requirements] with the Infrastructure area;Lack of time;4;67;14;;;
825;Communication flaws within the project team;"No one common understanding; Co-location was a struggle for some members; Inconsistent leadership; Frequent change of team members";Miscommunication between RE team;1;73;1;;;
825;Insufficient support by project lead;"Project leads changed throughout the project; Lead distracted by other work; Lack of understanding of the work done by BAs and why important";Lack of leadership;2;63;7;;;
830;Technically unfeasible requirements;customer had some strong ideas on HOW they wanted the solution but were eventually open to other suggestions once the implications of their proposed solution  (often a performance hit, or poor user experience) were explained.;Missing IT project experience at customer side;3;87;11;;;
830;Time boxing / Not enough time in general;project had a tight timeframe, strong interdependencies on BA deliverables and handover;Poor project management;2;106;13;;;
830;Unclear / unmeasurable non-functional requirements;customer took a long time 9 months to formally provide NFRs for the project and when provided omitted to describe scenarios required for performance testing;Inability to specify measurable non-functional requirements;1;43;14;;;
831;Weak access to customer needs and / or (internal) business information;Customer does not always get entirely what they want;Customer does not know what he wants;1;34;17;;;
845;Time boxing / Not enough time in general;Deadline due to decommissiong of old system;Thinking in legacy systems;1;121;13;;;
847;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Unsuitable methodology for projects ;Process doesn't allow for innovation;1;109;2;;;
847;Gold plating (implementation of features without corresponding requirements);No overall product owner/manager to push back on unnecessary requirements ;Lack of a well-defined RE process;4;56;3;;;
847;Incomplete or hidden requirements;Not enough prototyping and testing in early stages ;Missing completeness check of requirements;5;79;4;;;
847;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders wanting to design solutions rather than specify problems ;Missing concentration on business needs;2;80;10;;;
847;Technically unfeasible requirements;Not enough technical involvement early on/prototyping;Lack of requirements management;3;65;11;;;
849;Communication flaws between the project and the customer;Hostile Customer - high-ranking security officer;Conflict of interests at customer side;2;28;0;;;
849;Moving targets (changing goals, business processes and / or requirements);The type of contract often changed;Customer does not know what he wants;5;34;9;;;
849;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;One must first help the client understanding it's own business;Missing concentration on business needs;1;80;16;;;
849;Weak access to customer needs and / or (internal) business information;Internally it was not to understood what the business agreement made with the customer was;Unclear business needs;4;126;17;;;
851;Incomplete or hidden requirements;the lack of compromise of stakeholders or the assignment of wrong people to that function lead to the situation that when end users start using the system unwanted requirements are discovered;Unclear roles and responsibilities at customer side;5;128;4;;;
851;Insufficient support by customer;lack of commitment to the project, they do not feel part of;Missing customer involvement;3;81;6;;;
851;Moving targets (changing goals, business processes and / or requirements);The customer wants more as he/she knows what the system is capable of doing;Missing technical knowledge;2;98;9;;;
851;Stakeholders with difficulties in separating requirements from previously known solution designs;It is difficult to draw the end user of their status quo;Subjective interpretations;1;119;10;;;
851;Time boxing / Not enough time in general;the deadlines are often high when iterations are used since a final versionis obtained, customer wants more functions or unacceptable terms;Strict time schedule by customer;4;118;13;;;
856;Communication flaws between the project and the customer;The low customer availability;Insufficient collaboration in process;1;48;0;;;
856;Incomplete or hidden requirements;little customer availability, short timeframe to perform the analysis and delivery of the product, making the specification not very accurate;Lack of time;5;67;4;;;
856;Incomplete or hidden requirements;little customer availability, short timeframe to perform the analysis and delivery of the product, making the specification not very accurate;Missing completeness check of requirements;5;79;4;;;
856;Insufficient support by customer;Due to the low availability of the customer;Missing customer involvement;4;81;6;;;
856;Moving targets (changing goals, business processes and / or requirements);legislation changes, priorities change with the change of government;Unexpected changes in requirements;2;131;9;;;
856;Weak knowledge about customer's application domain;Systems with more than 30 years of use by the customer, little documentation and difficulty in understanding the rules for new team members;Lack of experience of RE team members;3;61;18;;;
857;Communication flaws between the project and the customer;Difficulties in the explanations of details fo the VAT Law;Complexity of domain;1;24;0;;;
864;Communication flaws between the project and the customer;Clients are usually unavailable to interviews and have difficulties in explaining the processes;Insufficient collaboration in process;1;48;0;;;
864;Gold plating (implementation of features without corresponding requirements);unexpected demands made by the upper management;Unclear project scope;4;127;3;;;
864;Incomplete or hidden requirements;inefficiency in extracting requirements from the business analyst;Lack of experience of RE team members;3;61;4;;;
864;Missing traceability;Poor documentation by the development team;Weak qualification of RE team members;2;136;8;;;
864;Stakeholders with difficulties in separating requirements from previously known solution designs;Poor involvement in the project;Lack of interest about customers domain;5;62;10;;;
865;Incomplete or hidden requirements;"Lack of knowledge; Lack of interest";Missing technical knowledge;1;98;4;;;
865;Insufficient support by project lead;Lack of interest;Lack of interest about customers domain;5;62;7;;;
865;Moving targets (changing goals, business processes and / or requirements);Lack of objectivity;Unclear business needs;3;126;9;;;
865;Time boxing / Not enough time in general;"Lack of planning; Changing Managers";Poor project management;2;106;13;;;
865;Weak relationship between customer and project lead;Lack of focus on goals;Missing concentration on business needs;4;80;19;;;
868;Communication flaws within the project team;lack of models and techniques that increase the effectiveness of communication;Communication flaws between team and customer;3;22;1;;;
868;Inconsistent requirements;lack of time, lack of experience;Lack of time;4;67;5;;;
868;Underspecified requirements that are too abstract and allow for various interpretations;lack of time, lack of experience;Lack of experience of RE team members;1;61;15;;;
868;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;lack of time, lack of experience;Stakeholders lack business vision and understanding;2;117;16;;;
868;Weak knowledge about customer's application domain;lack of time, lack of experience;Lack of experience of RE team members;5;61;18;;;
868;Weak knowledge about customer's application domain;lack of time, lack of experience;Lack of time;5;67;18;;;
870;Communication flaws between the project and the customer;unprepared Business Analyst ;Stakeholders lack business vision and understanding;2;117;0;;;
870;Communication flaws within the project team;The team has lack of experience;Lack of experience of RE team members;1;61;1;;;
870;Incomplete or hidden requirements;inexperienced Systems Analyst;Lack of experience of RE team members;5;61;4;;;
870;Inconsistent requirements;misguided Systems Analyst;Weak qualification of RE team members;4;136;5;;;
870;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of guidance needed;Missing IT project experience at customer side;3;87;10;;;
876;Communication flaws between the project and the customer;the customer takes long to track project;Lack of time;2;67;0;;;
876;Communication flaws within the project team;lack of knowledge of developers in the company's business process;Missing domain knowledge;1;84;1;;;
876;Moving targets (changing goals, business processes and / or requirements);the customer just request a feature automatically;Missing IT project experience at customer side;3;87;9;;;
876;Unclear / unmeasurable non-functional requirements;architectural changes during development time ;Solution orientation;4;114;14;;;
876;Underspecified requirements that are too abstract and allow for various interpretations;generally requirements are described when new functionalities are discovered, allowing refactoring,;Poor requirements elicitation techniques;5;107;15;;;
879;Inconsistent requirements;Imply rework.;Rework;4;112;5;;;
879;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders with limited focus on the solution.;Missing solution approach;2;97;10;;;
879;Terminological problems;Names definition do not achieve the application goal.;Unclear terminology;1;130;12;;;
879;Underspecified requirements that are too abstract and allow for various interpretations;abstract requirements allow taking wrong decisions.;Requirements remain too abstract;3;111;15;;;
879;Weak knowledge about customer's application domain;Business Analyst not immersed in the client application.;Poor project management;5;106;18;;;
880;Communication flaws between the project and the customer;Client does not know the whole business process.;Stakeholders lack business vision and understanding;4;117;0;;;
880;Moving targets (changing goals, business processes and / or requirements);Laws and ordinances that change.;Volatile industry segment that leads to changes;3;133;9;;;
880;Time boxing / Not enough time in general;Planning.;Poor project management;1;106;13;;;
880;Underspecified requirements that are too abstract and allow for various interpretations;Laws as a source of requirements.;Thinking in legacy systems;5;121;15;;;
880;Volatile customer's business domain regarding, e.g., changing points of contact, business processes or requirements;Inconsistent customer development process;Missing IT project experience at customer side;2;87;16;;;
889;Insufficient support by customer;The customer is not engaged with the importance of the project.;Missing engagement by customer;1;85;6;;;
894;Incomplete or hidden requirements;Rework;Rework;4;112;4;;;
894;Inconsistent requirements;Rework;Rework;5;112;5;;;
894;Missing traceability;We do not have the vision of the impacts of a change in a requirement;Lack of change management at customer side;3;57;8;;;
894;Unclear / unmeasurable non-functional requirements;Failure to ensure this requirement impacts the end of the project;Inability to specify measurable non-functional requirements;1;43;14;;;
894;Underspecified requirements that are too abstract and allow for various interpretations;Rework;Subjective interpretations;2;119;15;;;
896;Gold plating (implementation of features without corresponding requirements);not request features Implementation;Gold plating;3;38;3;;;
896;Incomplete or hidden requirements;Little experience in the requested business ;Missing domain knowledge;2;84;4;;;
896;Unclear / unmeasurable non-functional requirements;Lack of experience in being able to see non-functional requirements for a virtual reality teaching platform;Lack of experience of RE team members;1;61;14;;;
900;Incomplete or hidden requirements;Incomplete in the sense of not meeting in full the business goals;Stakeholders lack business vision and understanding;2;117;4;;;
900;Stakeholders with difficulties in separating requirements from previously known solution designs;Sometimes there are inconsistencies with previous requirements, which also originate goals changes;Poor requirements elicitation techniques;3;107;10;;;
900;Terminological problems;Different terminologies among customers from different business branches (energy, gas, ...);Conflicting stakeholder viewpoints;4;31;12;;;
900;Weak knowledge about customer's application domain;Little knowledge about business objectives of the client's operating fields;Missing domain knowledge;1;84;18;;;
901;Communication flaws within the project team;"The team is physically separared; the requirements analyst is not part of the development team";Too high team distribution;1;122;1;;;
901;Incomplete or hidden requirements;because of the unavailability of customer assumes the risk of building requirements with minimal information;Missing engagement by customer;3;85;4;;;
901;Stakeholders with difficulties in separating requirements from previously known solution designs;very large product, causing this difficulty;Complexity of project;5;25;10;;;
901;Time boxing / Not enough time in general;The customer takes long to respond but the [overall available] time does not change, becoming insufficient;Missing customer involvement;4;81;13;;;
901;Weak access to customer needs and / or (internal) business information;Customer usually is unavailable, slow to respond;Not following the communication plan;2;103;17;;;
909;Gold plating (implementation of features without corresponding requirements);Requests are often parallel and touched by [people with] profiles that do not have sufficient technical and abstractions to identify, specify and manage requirements.;Lack of experience of RE team members;4;61;3;;;
909;Incomplete or hidden requirements;Lack of immersion in the business and domain areas, including by the customer;Lack of interest about customers domain;5;62;4;;;
